id,url,route,content_family,cluster,subcluster,primary_entity,primary_keyword,search_intent,proposed_h1,canonical_url,parent_hub,schema_types,blueprint,priority,priority_score,quality_threshold,lifecycle_state,publish_approved,indexable
url-candidate-0001,https://www.mcpserver.in/categories/developer-tools/,/categories/developer-tools/,category-hub,developer-tools,developer-tools,Developer Tools,Developer Tools MCP servers,navigation,Developer Tools MCP Servers and Guides,https://www.mcpserver.in/categories/developer-tools/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0002,https://www.mcpserver.in/categories/databases/,/categories/databases/,category-hub,databases,databases,Databases,Databases MCP servers,navigation,Databases MCP Servers and Guides,https://www.mcpserver.in/categories/databases/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0003,https://www.mcpserver.in/categories/vector-databases/,/categories/vector-databases/,category-hub,vector-databases,vector-databases,Vector Databases,Vector Databases MCP servers,navigation,Vector Databases MCP Servers and Guides,https://www.mcpserver.in/categories/vector-databases/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0004,https://www.mcpserver.in/categories/communication/,/categories/communication/,category-hub,communication,communication,Communication,Communication MCP servers,navigation,Communication MCP Servers and Guides,https://www.mcpserver.in/categories/communication/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0005,https://www.mcpserver.in/categories/productivity/,/categories/productivity/,category-hub,productivity,productivity,Productivity,Productivity MCP servers,navigation,Productivity MCP Servers and Guides,https://www.mcpserver.in/categories/productivity/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0006,https://www.mcpserver.in/categories/project-management/,/categories/project-management/,category-hub,project-management,project-management,Project Management,Project Management MCP servers,navigation,Project Management MCP Servers and Guides,https://www.mcpserver.in/categories/project-management/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0007,https://www.mcpserver.in/categories/cloud/,/categories/cloud/,category-hub,cloud,cloud,Cloud,Cloud MCP servers,navigation,Cloud MCP Servers and Guides,https://www.mcpserver.in/categories/cloud/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0008,https://www.mcpserver.in/categories/deployment/,/categories/deployment/,category-hub,deployment,deployment,Deployment,Deployment MCP servers,navigation,Deployment MCP Servers and Guides,https://www.mcpserver.in/categories/deployment/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0009,https://www.mcpserver.in/categories/security/,/categories/security/,category-hub,security,security,Security,Security MCP servers,navigation,Security MCP Servers and Guides,https://www.mcpserver.in/categories/security/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0010,https://www.mcpserver.in/categories/identity/,/categories/identity/,category-hub,identity,identity,Identity,Identity MCP servers,navigation,Identity MCP Servers and Guides,https://www.mcpserver.in/categories/identity/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
